"","leader","screenName"
"263","KAKA","cassivaladao"
"264","KAKA","elano_blumer"
"265","KAKA","otaviomesquita"
"266","KAKA","brunolaurence"
"267","KAKA","SergioRamos"
"268","KAKA","rdaneseoficial"
"269","KAKA","jorgeresgate"
"270","KAKA","DuduBorgesVip"
"271","KAKA","S2imoneleite"
"272","KAKA","VEJA"
"273","KAKA","JoycePascowitch"
"274","KAKA","ticoelias1"
"275","KAKA","MiriamLeitaoCom"
"276","KAKA","MaxLucado"
"277","KAKA","TiciPinheiro"
"278","KAKA","brunogagliasso"
"279","KAKA","Wanessa"
"280","KAKA","Marcusbuaiz"
"281","KAKA","filipeluis"
"282","KAKA","hamiltonresgate"
"283","KAKA","PauloAoficial"
"284","KAKA","mauriciovolei"
"285","KAKA","manuelauset"
"286","KAKA","MMFlint"
"287","KAKA","anapaulavaladao"
"288","KAKA","edrenekivitz"
"289","KAKA","DODAMIR"
"290","KAKA","celsocelico"
"291","KAKA","LeoCidFerreira"
"292","KAKA","luansantana"
"293","KAKA","CASSIANECANTORA"
"294","KAKA","BlancheBruno"
"295","KAKA","CesarMenotti"
"296","KAKA","alicecavalcanti"
"297","KAKA","goleiromarcio"
"298","KAKA","10Ronaldinho"
"299","KAKA","ANAMARIABRAGA"
"300","KAKA","Leia_a_Biblia"
"301","KAKA","michaelwsmith"
"302","KAKA","Lagoinha_com"
"303","KAKA","gibteixeira"
"304","KAKA","denilsonshow"
"305","KAKA","ahickmann"
"306","KAKA","SabrinaSato"
"307","KAKA","neymarjr"
"308","KAKA","JuniCalafat"
"309","KAKA","mito_gomes"
"310","KAKA","DecioLopesExp"
"311","KAKA","zebrunoresgate"
"312","KAKA","MarceloSaragosa"
"313","KAKA","Cristiano"
"314","KAKA","SeppBlatter"
"315","KAKA","brunodancona"
"316","KAKA","rai10oficial"
"317","KAKA","JornalOGlobo"
"318","KAKA","thiaguinhocomth"
"319","KAKA","tinomarcosreal"
"320","KAKA","Junior_Lima"
"321","KAKA","BillGates"
"322","KAKA","QueenRania"
"323","KAKA","bolaprafrente"
"324","KAKA","gugakuerten"
"325","KAKA","CoelhoArnaldoC"
"326","KAKA","prkleberlucas"
"327","KAKA","LauraPausini"
"328","KAKA","JoyceMeyer"
"329","KAKA","PREGADORLUO"
"330","KAKA","NelsonPiquet"
"331","KAKA","BarackObama"
"332","KAKA","TomCavalcante1"
"333","KAKA","Lima_Lucas"
"334","KAKA","PBiaL"
"335","KAKA","gewbank"
"336","KAKA","GalisteuOficial"
"337","KAKA","biaantony"
"338","KAKA","suwerner"
"339","KAKA","justdemi"
"340","KAKA","RIVALDOOFICIAL"
"341","KAKA","bananinhadany"
"342","KAKA","_felipemelo_"
"343","KAKA","LFMUSA"
"344","KAKA","marcosmion"
"345","KAKA","TiagoLeifert"
"346","KAKA","ifiorentino"
"347","KAKA","Graffa23"
"348","KAKA","MarceloAguiarMA"
"349","KAKA","rolyra_dio"
"350","KAKA","OCriador"
"351","KAKA","galvaobueno"
"352","KAKA","RomarioOnze"
"353","KAKA","dkotscho2"
"354","KAKA","TonyKanaan"
"355","KAKA","LucasdiGrassi"
"356","KAKA","PalomaTocci"
"357","KAKA","LeoViga"
"358","KAKA","ivetesangalo"
"359","KAKA","ericfaria74"
"360","KAKA","luis_fabuloso"
"361","KAKA","algore"
"362","KAKA","WFP"
"363","KAKA","CruzTadeu"
"364","KAKA","HugoGloss"
"365","KAKA","MartaDAvila"
"366","KAKA","CassioReis"
"367","KAKA","MMPedreira"
"368","KAKA","andrevaladao"
"369","KAKA","joaoarmentano"
"370","KAKA","Branquinho"
"371","KAKA","felipeespindola"
"372","KAKA","estevanciccone"
"373","KAKA","andreolifelipe"
"374","KAKA","CBF_Futebol"
"375","KAKA","alinebarros"
"376","KAKA","angelicaksy"
"377","KAKA","oserginho"
"378","KAKA","FePaesLeme"
"379","KAKA","RGottino"
"380","KAKA","glendakozlowski"
"381","KAKA","cacelico"
"382","KAKA","karinaarruda"
"383","KAKA","pedrofida"
"384","KAKA","RobertoLJustus"
"385","KAKA","EuqueseiReal"
"386","KAKA","aplusk"
"387","KAKA","AntonioPizzonia"
"388","KAKA","marcoluque"
"389","KAKA","rodrigovesgo"
"390","KAKA","abilio_diniz"
"391","KAKA","Oprah"
"392","KAKA","ClaudiaLeitte"
"393","KAKA","jucapacheco"
"394","KAKA","rubarrichello"
"395","KAKA","leganasset"
"396","KAKA","atletascidada"
"397","KAKA","julianobelletti"
"398","KAKA","LucianoHuck"
"399","KAKA","realwbonner"
"400","TwitterSports","chezseamus"
"401","TwitterSports","iamBenLyons"
"402","TwitterSports","cedar"
"403","TwitterSports","SazanPasori"
"404","TwitterSports","WExline"
"405","TwitterSports","Paulmillsap4"
"406","TwitterSports","RealMiguelCotto"
"407","TwitterSports","Esp_Interativo"
"408","TwitterSports","brenden3lee"
"409","TwitterSports","AnnaKFaris"
"410","TwitterSports","Trujohnson2"
"411","TwitterSports","JHekker"
"412","TwitterSports","JaredGoff16"
"413","TwitterSports","casekeenum7"
"414","TwitterSports","KingTutt_chdown"
"415","TwitterSports","MROGLETREE52"
"416","TwitterSports","Bquick_SC"
"417","TwitterSports","RamsNFL"
"418","TwitterSports","PeteCarroll"
"419","TwitterSports","cliffavril"
"420","TwitterSports","Bwagz54"
"421","TwitterSports","DougBaldwinJr"
"422","TwitterSports","JustinBritt68"
"423","TwitterSports","Earl_Thomas"
"424","TwitterSports","Prosisely_22"
"425","TwitterSports","TDLockett12"
"426","TwitterSports","JKearse_15"
"427","TwitterSports","KJ_WRIGHT34"
"428","TwitterSports","StayingInMyLane"
"429","TwitterSports","TheJimmyGraham"
"430","TwitterSports","LWillson_82"
"431","TwitterSports","OGcURIOUSDEUCE"
"432","TwitterSports","StephenHauscka4"
"433","TwitterSports","TRawls810"
"434","TwitterSports","KennyBritt_18"
"435","TwitterSports","Jones_Drew32"
"436","TwitterSports","TreMason"
"437","TwitterSports","Tayaustin01"
"438","TwitterSports","AaronDonald97"
"439","TwitterSports","pinball"
"440","TwitterSports","ochocinco"
"441","TwitterSports","PjWilliams_26"
"442","TwitterSports","MountainWest"
"443","TwitterSports","UKCoachCalipari"
"444","TwitterSports","TheBeastPennel"
"445","TwitterSports","kbfuller17"
"446","TwitterSports","PatODonnell_16"
"447","TwitterSports","charleslenojr72"
"448","TwitterSports","PrinceAmukamara"
"449","TwitterSports","AROD"
"450","TwitterSports","LanceBriggs"
"451","TwitterSports","RobbieGould09"
"452","TwitterSports","BUrlacher54"
"453","TwitterSports","JaredCook89"
"454","TwitterSports","TyMontgomery2"
"455","TwitterSports","Donald_Driver80"
"456","TwitterSports","Favre4Official"
"457","TwitterSports","haha_cd6"
"458","TwitterSports","JermichaelF88"
"459","TwitterSports","EddieRoyalWR"
"460","TwitterSports","BrandonBoykin2"
"461","TwitterSports","JeremyLangford"
"462","TwitterSports","bhoyer7"
"463","TwitterSports","ZMiller86"
"464","TwitterSports","James44Starks"
"465","TwitterSports","crosbykicks2"
"466","TwitterSports","Lil_Eazy_Ana_42"
"467","TwitterSports","Buck"
"468","TwitterSports","TroyAikman"
"469","TwitterSports","TonyDungy"
"470","TwitterSports","CollinsworthPFF"
"471","TwitterSports","The1st_Montana"
"472","TwitterSports","NBowman53"
"473","TwitterSports","DrewBut13r"
"474","TwitterSports","CoachLesMiles"
"475","TwitterSports","TravisBenjamin3"
"476","TwitterSports","cj_wentz"
"477","TwitterSports","devontafreeman"
"478","TwitterSports","criscarter80"
"479","TwitterSports","DeionSanders"
"480","TwitterSports","shawnemerriman"
"481","TwitterSports","StateCoachD"
"482","TwitterSports","Merci380"
"483","TwitterSports","Mac_BZ"
"484","TwitterSports","DannyAmendola"
"485","TwitterSports","Ky1eLong"
"486","TwitterSports","JOEL9ONE"
"487","TwitterSports","Alex_Flanagan"
"488","TwitterSports","ReggieWayne_17"
"489","TwitterSports","120Sports"
"490","TwitterSports","sam_ponder"
"491","TwitterSports","MoveTheSticks"
"492","TwitterSports","ggronko"
"493","TwitterSports","LegerDouzable"
"494","TwitterSports","nyjets"
"495","TwitterSports","Revis24"
"496","TwitterSports","joshweinfuss"
"497","TwitterSports","TyDunne"
"498","TwitterSports","JaySkurski"
"499","TwitterSports","mikerodak"
"500","TwitterSports","Rich_Campbell"
"501","TwitterSports","danwiederer"
"502","TwitterSports","BobLeGere"
"503","TwitterSports","DickersonESPN"
"504","TwitterSports","kfishbain"
"505","TwitterSports","JamesNeveau"
"506","TwitterSports","DNewtonespn"
"507","TwitterSports","jjones9"
"508","TwitterSports","apschuyler"
"509","TwitterSports","jonmachota"
"510","TwitterSports","toddarcher"
"511","TwitterSports","clarencehilljr"
"512","TwitterSports","RyanKoenigsberg"
"513","TwitterSports","NickiJhabvala"
"514","TwitterSports","Jeff_Legwold"
"515","TwitterSports","RobDemovsky"
"516","TwitterSports","jasonjwilde"
"517","TwitterSports","PeteDougherty"
"518","TwitterSports","WesHod"
"519","TwitterSports","ByRyanWood"
"520","TwitterSports","Michael_Cohen13"
"521","TwitterSports","TomSilverstein"
"522","TwitterSports","LoriNickel"
"523","TwitterSports","taniaganguli"
"524","TwitterSports","APdaveskretta"
"525","TwitterSports","adamteicher"
"526","TwitterSports","HerbieTeope"
"527","TwitterSports","gregbeacham"
"528","TwitterSports","nwagoner"
"529","TwitterSports","LATimesklein"
"530","TwitterSports","LindseyThiry"
"531","TwitterSports","VikingsNow"
"532","TwitterSports","globejimmcbride"
"533","TwitterSports","ErikFrenz"
"534","TwitterSports","tomecurran"
"535","TwitterSports","KevinRDuffy"
"536","TwitterSports","Chezsports"
"537","TwitterSports","brettmartel"
"538","TwitterSports","MikeTriplett"
"539","TwitterSports","nick_underhill"
"540","TwitterSports","TomRock_Newsday"
"541","TwitterSports","ebenezersamuel"
"542","TwitterSports","DDuggan21"
"543","TwitterSports","KristianRDyer"
"544","TwitterSports","DWAZ73"
"545","TwitterSports","RichCimini"
"546","TwitterSports","benshpigel"
"547","TwitterSports","domcosentino"
"548","TwitterSports","DarrylSlater"
"549","TwitterSports","Jimmy_Durkin"
"550","TwitterSports","PGutierrezESPN"
"551","TwitterSports","AP_RobMaaddi"
"552","TwitterSports","JeffKerr247"
"553","TwitterSports","BobGrotz"
"554","TwitterSports","SheridanScribe"
"555","TwitterSports","ZBerm"
"556","TwitterSports","NickFierro"
"557","TwitterSports","berniewilson"
"558","TwitterSports","JanieMcCAP"
"559","TwitterSports","MaioccoNBCS"
"560","TwitterSports","CamInman"
"561","TwitterSports","DjamesIII"
"562","TwitterSports","AdamLewisPI"
"563","TwitterSports","ByTimBooth"
"564","TwitterSports","SheilKapadia"
"565","TwitterSports","Aly_Raisman"
"566","TwitterSports","MooreMaya"
"567","TwitterSports","mPinoe"
"568","TwitterSports","kerrileewalsh"
"569","TwitterSports","natashahastings"
"570","TwitterSports","alliseeisgold"
"571","TwitterSports","katieledecky"
"572","TwitterSports","Pele"
"573","TwitterSports","jtuck9"
"574","TwitterSports","NastiaLiukin"
"575","TwitterSports","RealJayWilliams"
"576","TwitterSports","AthleticsCanada"
"577","TwitterSports","thekidmcmanus"
"578","TwitterSports","nadiacomaneci10"
"579","TwitterSports","olympicchannel"
"580","TwitterSports","TYHilton13"
"581","TwitterSports","CanadaSoccerEN"
"582","TwitterSports","CampusInsiders"
"583","TwitterSports","JForsett"
"584","TwitterSports","jmattjmattjmatt"
"585","TwitterSports","DarrenSproles"
"586","TwitterSports","UDWJPP"
"587","TwitterSports","Kam_Chancellor"
"588","TwitterSports","AmariCooper9"
"589","TwitterSports","derekcarrqb"
"590","TwitterSports","teddyb_h2o"
"591","TwitterSports","Harp41"
"592","TwitterSports","brandincooks"
"593","TwitterSports","rcobb18"
"594","TwitterSports","JordyRNelson"
"595","TwitterSports","ClayMatthews52"
